category,Gene name,ID,term,count,genes,logFC,adj_pval
BP,TPI1,GO:0043436,oxoacid metabolic process,6,P60174,Up,5.96E-06
BP,TPI1,GO:0006082,organic acid metabolic process,6,P60174,Up,6.92E-06
BP,TPI1,GO:0044281,small molecule metabolic process,8,P60174,Up,9.42E-07
BP,TPI1,GO:1901575,organic substance catabolic process,7,P60174,Up,1.85E-05
BP,IDH1,GO:0044262,cellular carbohydrate metabolic process,4,O75874,Down,3.09E-06
BP,IDH1,GO:0005975,carbohydrate metabolic process,6,O75874,Down,2.17E-07
BP,IDH1,GO:0032787,monocarboxylic acid metabolic process,6,O75874,Down,2.84E-07
BP,IDH1,GO:0019752,carboxylic acid metabolic process,6,O75874,Down,5.04E-06
BP,IDH1,GO:0043436,oxoacid metabolic process,6,O75874,Down,5.96E-06
BP,IDH1,GO:0006082,organic acid metabolic process,6,O75874,Down,6.92E-06
BP,IDH1,GO:0044281,small molecule metabolic process,8,O75874,Down,9.42E-07
BP,CTSC,GO:1901575,organic substance catabolic process,7,P53634,Down,1.85E-05
BP,SLC27A2,GO:0032787,monocarboxylic acid metabolic process,6,O14975,Down,2.84E-07
